10	25	10000
10	22	10000
10	31	10000
10	32	10000
11	24	10000
11	30	10000
11	35	10000
11	40	10000
11	42	80000
11	45	10000
12	27	10000
12	35	10000
12	38	10000
12	49	30000
12	52	20000
12	53	470000
13	39	70000
13	43	30000
13	45	30000
13	46	20000
13	47	10000
13	50	20000
13	58	360000
13	57	180000
13	62	30000
13	65	170000
14	28	10000
14	32	10000
14	45	10000
14	49	10000
14	56	20000
14	59	930000
14	60	50000
14	63	70000
14	72	260000
14	70	350000
14	76	2210000
15	39	10000
15	41	10000
15	45	10000
15	51	10000
15	52	50000
15	57	90000
15	66	130000
15	65	90000
15	72	110000
15	79	5380000
15	78	660000
15	85	540000
15	88	80000
16	39	20000
16	50	80000
16	60	30000
16	62	30000
16	68	240000
16	70	160000
16	74	10000
16	82	2370000
16	89	3460000
16	95	1950000
16	96	1210000
16	104	7060000
17	46	20000
17	52	40000
17	67	70000
17	69	150000
17	75	1490000
17	74	260000
17	82	4720000
17	87	980000
17	93	75780000
17	100	1010000
17	109	10540000
17	111	4900000
17	114	2010000
18	43	10000
18	50	30000
18	51	10000
18	63	10000
18	65	40000
18	70	160000
18	88	900000
18	95	620000
18	101	16030000
18	105	21690000
18	111	19830000
18	117	650000
18	122	270000
18	132	196530000
