filas, columnas, colores, tiempo
3, 3, 7, 10000
4, 3, 4, 10000
4, 3, 6, 20000
4, 3, 8, 50000
4, 4, 3, 10000
4, 4, 4, 70000
4, 4, 5, 80000
4, 4, 6, 440000
4, 4, 7, 1220000
4, 4, 8, 770000
