pueblos, centrales, tiempo
50000, 1, 30180000
50000, 4001, 30180000
50000, 8001, 29880000
50000, 12001, 30380000
50000, 16001, 30090000
50000, 20001, 30140000
50000, 24001, 30020000
50000, 28001, 30920000
50000, 32001, 30520000
50000, 36001, 30100000
50000, 40001, 29890000
50000, 44001, 32810000
50000, 48001, 30240000
50000, 52001, 30410000
50000, 56001, 30210000
50000, 60001, 30350000
50000, 64001, 30660000
50000, 68001, 30500000
50000, 72001, 29910000
50000, 76001, 29820000
50000, 80001, 29750000
50000, 84001, 29860000
50000, 88001, 30320000
50000, 92001, 30310000
50000, 96001, 32140000
51000, 1, 31190000
51000, 4001, 30940000
51000, 8001, 31010000
51000, 12001, 31010000
51000, 16001, 30950000
51000, 20001, 30900000
51000, 24001, 31300000
51000, 28001, 30960000
51000, 32001, 30940000
51000, 36001, 31380000
51000, 40001, 31350000
51000, 44001, 30930000
51000, 48001, 31070000
51000, 52001, 31300000
51000, 56001, 31620000
51000, 60001, 35540000
51000, 64001, 32040000
51000, 68001, 35510000
51000, 72001, 31420000
51000, 76001, 31420000
51000, 80001, 32410000
51000, 84001, 31450000
51000, 88001, 31670000
51000, 92001, 31510000
51000, 96001, 31320000
52000, 1, 32960000
52000, 4001, 32300000
52000, 8001, 32180000
52000, 12001, 32360000
52000, 16001, 32940000
52000, 20001, 33090000
52000, 24001, 33370000
52000, 28001, 32630000
52000, 32001, 33090000
52000, 36001, 32490000
52000, 40001, 32700000
52000, 44001, 32980000
52000, 48001, 32830000
52000, 52001, 32790000
52000, 56001, 32800000
52000, 60001, 32690000
52000, 64001, 33780000
52000, 68001, 33380000
52000, 72001, 32940000
52000, 76001, 33320000
52000, 80001, 32730000
52000, 84001, 32820000
52000, 88001, 32600000
52000, 92001, 32590000
52000, 96001, 33260000
53000, 1, 34290000
53000, 4001, 34090000
53000, 8001, 33810000
53000, 12001, 34830000
53000, 16001, 33900000
53000, 20001, 34460000
53000, 24001, 34760000
53000, 28001, 33850000
53000, 32001, 34020000
53000, 36001, 35290000
53000, 40001, 37380000
53000, 44001, 36150000
