pueblos, centrales, tiempo
5000, 100, 170000
5000, 130, 160000
5000, 160, 170000
5000, 190, 180000
5000, 220, 170000
5000, 250, 160000
5000, 280, 180000
5000, 310, 160000
5000, 340, 170000
5000, 370, 170000
5000, 400, 170000
5000, 430, 160000
5000, 460, 180000
5000, 490, 180000
5000, 520, 160000
5000, 550, 160000
5000, 580, 170000
5000, 610, 160000
5000, 640, 170000
5000, 670, 170000
5000, 700, 170000
5000, 730, 170000
5000, 760, 160000
5000, 790, 170000
5000, 820, 180000
5000, 850, 170000
5000, 880, 160000
5000, 910, 170000
5000, 940, 150000
5000, 970, 170000
5000, 1000, 170000
5100, 100, 160000
5100, 130, 170000
5100, 160, 180000
5100, 190, 180000
5100, 220, 170000
5100, 250, 180000
5100, 280, 170000
5100, 310, 180000
5100, 340, 180000
5100, 370, 170000
5100, 400, 180000
5100, 430, 180000
5100, 460, 180000
5100, 490, 170000
5100, 520, 180000
5100, 550, 180000
5100, 580, 170000
5100, 610, 180000
5100, 640, 180000
5100, 670, 170000
5100, 700, 170000
5100, 730, 180000
5100, 760, 180000
5100, 790, 180000
5100, 820, 180000
5100, 850, 170000
5100, 880, 180000
5100, 910, 180000
5100, 940, 180000
5100, 970, 180000
5100, 1000, 180000
5200, 100, 180000
5200, 130, 180000
5200, 160, 200000
5200, 190, 180000
5200, 220, 180000
5200, 250, 180000
5200, 280, 170000
5200, 310, 180000
5200, 340, 180000
5200, 370, 180000
5200, 400, 200000
5200, 430, 180000
5200, 460, 180000
5200, 490, 180000
5200, 520, 180000
5200, 550, 180000
5200, 580, 200000
5200, 610, 180000
5200, 640, 180000
5200, 670, 180000
5200, 700, 180000
5200, 730, 190000
5200, 760, 180000
5200, 790, 180000
5200, 820, 180000
5200, 850, 190000
5200, 880, 180000
5200, 910, 190000
5200, 940, 180000
5200, 970, 170000
5200, 1000, 180000
5300, 100, 190000
5300, 130, 200000
5300, 160, 200000
5300, 190, 190000
5300, 220, 180000
5300, 250, 180000
5300, 280, 190000
5300, 310, 190000
5300, 340, 180000
5300, 370, 190000
5300, 400, 190000
5300, 430, 190000
5300, 460, 190000
5300, 490, 190000
5300, 520, 190000
5300, 550, 190000
5300, 580, 190000
5300, 610, 200000
5300, 640, 190000
5300, 670, 180000
5300, 700, 180000
5300, 730, 190000
5300, 760, 190000
5300, 790, 190000
5300, 820, 200000
5300, 850, 190000
5300, 880, 190000
5300, 910, 190000
5300, 940, 190000
5300, 970, 200000
5300, 1000, 190000
5400, 100, 190000
5400, 130, 190000
5400, 160, 190000
5400, 190, 200000
5400, 220, 200000
5400, 250, 190000
5400, 280, 190000
5400, 310, 200000
5400, 340, 190000
5400, 370, 200000
5400, 400, 200000
5400, 430, 200000
5400, 460, 190000
5400, 490, 200000
5400, 520, 200000
5400, 550, 200000
5400, 580, 200000
5400, 610, 200000
5400, 640, 190000
5400, 670, 190000
5400, 700, 190000
5400, 730, 200000
5400, 760, 200000
5400, 790, 200000
5400, 820, 200000
5400, 850, 190000
5400, 880, 190000
5400, 910, 190000
5400, 940, 200000
5400, 970, 200000
5400, 1000, 180000
5500, 100, 200000
5500, 130, 200000
5500, 160, 200000
5500, 190, 200000
5500, 220, 200000
5500, 250, 200000
5500, 280, 200000
5500, 310, 200000
5500, 340, 200000
5500, 370, 200000
5500, 400, 210000
5500, 430, 200000
5500, 460, 200000
5500, 490, 190000
5500, 520, 200000
5500, 550, 200000
5500, 580, 200000
5500, 610, 200000
5500, 640, 200000
5500, 670, 200000
5500, 700, 210000
5500, 730, 190000
5500, 760, 210000
5500, 790, 200000
5500, 820, 200000
5500, 850, 190000
5500, 880, 210000
5500, 910, 190000
5500, 940, 200000
5500, 970, 200000
5500, 1000, 200000
5600, 100, 210000
5600, 130, 210000
5600, 160, 220000
5600, 190, 210000
5600, 220, 200000
5600, 250, 200000
5600, 280, 210000
5600, 310, 210000
5600, 340, 220000
5600, 370, 200000
5600, 400, 210000
5600, 430, 210000
5600, 460, 210000
5600, 490, 210000
5600, 520, 200000
5600, 550, 210000
5600, 580, 210000
5600, 610, 210000
5600, 640, 210000
5600, 670, 200000
5600, 700, 210000
5600, 730, 210000
5600, 760, 210000
5600, 790, 210000
5600, 820, 200000
5600, 850, 210000
5600, 880, 230000
5600, 910, 210000
5600, 940, 220000
5600, 970, 200000
5600, 1000, 210000
5700, 100, 210000
5700, 130, 210000
5700, 160, 220000
5700, 190, 220000
5700, 220, 230000
5700, 250, 220000
5700, 280, 220000
5700, 310, 210000
5700, 340, 220000
5700, 370, 220000
5700, 400, 220000
5700, 430, 210000
5700, 460, 210000
5700, 490, 210000
5700, 520, 220000
5700, 550, 230000
5700, 580, 220000
5700, 610, 210000
5700, 640, 230000
5700, 670, 220000
5700, 700, 220000
5700, 730, 220000
5700, 760, 210000
5700, 790, 210000
5700, 820, 210000
5700, 850, 220000
5700, 880, 220000
5700, 910, 220000
5700, 940, 220000
5700, 970, 210000
5700, 1000, 230000
5800, 100, 220000
5800, 130, 230000
5800, 160, 230000
5800, 190, 240000
5800, 220, 230000
5800, 250, 220000
5800, 280, 230000
5800, 310, 230000
5800, 340, 220000
5800, 370, 220000
5800, 400, 230000
5800, 430, 220000
5800, 460, 220000
5800, 490, 240000
5800, 520, 230000
5800, 550, 220000
5800, 580, 220000
5800, 610, 240000
5800, 640, 230000
5800, 670, 240000
5800, 700, 220000
5800, 730, 240000
5800, 760, 230000
5800, 790, 220000
5800, 820, 230000
5800, 850, 220000
5800, 880, 220000
5800, 910, 220000
5800, 940, 220000
5800, 970, 220000
5800, 1000, 220000
5900, 100, 240000
5900, 130, 230000
5900, 160, 230000
5900, 190, 240000
5900, 220, 230000
5900, 250, 230000
5900, 280, 230000
